customer_id,age,country,account_type,balance,age_group
10001,19,Botswana,Standard,53781,Young Adult
10002,24,South Africa,Basic,69403,Young Adult
10003,38,Zimbabwe,Premium,3417,Adult
10004,66,Namibia,Premium,44421,Mature
10005,45,Botswana,Basic,45050,Adult
10006,35,Namibia,Premium,14952,Adult
10007,34,Zimbabwe,Basic,64111,Adult
10008,60,South Africa,Basic,66016,Mature
10009,18,Zimbabwe,Premium,11753,Young Adult
10010,51,South Africa,Premium,2206,Mature
10011,63,Namibia,Premium,20369,Mature
10012,37,Namibia,Premium,2144,Adult
10013,69,Botswana,Premium,16727,Mature
10014,44,South Africa,Basic,90531,Adult
10015,30,Namibia,Standard,87757,Young Adult
10016,47,Namibia,Premium,58236,Adult
10017,48,Namibia,Basic,83264,Adult
10018,53,Zimbabwe,Standard,25282,Mature
10019,63,Zimbabwe,Standard,28369,Mature
10020,18,Namibia,Standard,48152,Young Adult
10021,50,Botswana,Premium,5010,Adult
10022,27,Zimbabwe,Standard,63343,Young Adult
10023,30,South Africa,Standard,29255,Young Adult
10024,60,Botswana,Basic,35808,Mature
10025,27,Namibia,Basic,84974,Young Adult
10026,40,South Africa,Premium,76502,Adult
10027,43,Zimbabwe,Basic,27485,Adult
10028,33,Namibia,Basic,98727,Adult
10029,53,Namibia,Premium,81778,Mature
10030,62,Namibia,Standard,29831,Mature
10031,23,Namibia,Standard,76692,Young Adult
10032,69,Zimbabwe,Basic,61931,Mature
10033,34,South Africa,Standard,44156,Adult
10034,65,Botswana,Premium,88431,Mature
10035,26,Namibia,Premium,54073,Young Adult
10036,62,Namibia,Premium,67508,Mature
10037,20,Zimbabwe,Standard,92404,Young Adult
10038,25,South Africa,Standard,64588,Young Adult
10039,59,Botswana,Basic,34585,Mature
10040,34,Botswana,Premium,97310,Adult
10041,35,South Africa,Standard,55079,Adult
10042,62,Zimbabwe,Basic,37126,Mature
10043,53,Namibia,Basic,14525,Mature
10044,62,Namibia,Basic,18625,Mature
10045,63,Botswana,Standard,72378,Mature
10046,52,Botswana,Basic,65990,Mature
10047,53,South Africa,Basic,7212,Mature
10048,61,Namibia,Standard,20525,Mature
10049,45,Namibia,Premium,99585,Adult
10050,22,Botswana,Premium,33826,Young Adult
10051,62,South Africa,Premium,69686,Mature
10052,40,Namibia,Basic,17562,Adult
10053,63,South Africa,Premium,13898,Mature
10054,52,Zimbabwe,Premium,13805,Mature
10055,69,Namibia,Premium,54567,Mature
10056,54,South Africa,Premium,1773,Mature
10057,32,Botswana,Premium,42695,Adult
10058,20,Botswana,Premium,67802,Young Adult
10059,56,Botswana,Premium,21046,Mature
10060,35,Botswana,Basic,51350,Adult
10061,43,Botswana,Basic,45448,Adult
10062,31,Botswana,Standard,61544,Adult
10063,26,Zimbabwe,Premium,84889,Young Adult
10064,53,Namibia,Premium,97310,Mature
10065,38,Botswana,Standard,87745,Adult
10066,62,Botswana,Standard,59493,Mature
10067,45,Zimbabwe,Premium,81472,Adult
10068,66,Zimbabwe,Basic,6147,Mature
10069,51,Namibia,Premium,51100,Mature
10070,18,Botswana,Premium,78293,Young Adult
10071,18,Namibia,Premium,36992,Young Adult
10072,30,Botswana,Standard,30523,Young Adult
10073,42,Zimbabwe,Standard,70351,Adult
10074,24,Namibia,Basic,72286,Young Adult
10075,27,Zimbabwe,Standard,84305,Young Adult
10076,28,Namibia,Premium,18964,Young Adult
10077,33,Botswana,Standard,81487,Adult
10078,31,Botswana,Standard,46951,Adult
10079,27,Zimbabwe,Standard,7515,Young Adult
10080,18,Zimbabwe,Premium,16396,Young Adult
10081,67,Zimbabwe,Basic,33333,Mature
10082,46,Botswana,Premium,46162,Adult
10083,33,Namibia,Basic,6318,Adult
10084,35,South Africa,Standard,82764,Adult
10085,46,Zimbabwe,Basic,49849,Adult
10086,65,Zimbabwe,Basic,49665,Mature
10087,34,Botswana,Standard,54585,Adult
10088,61,Zimbabwe,Premium,73705,Mature
10089,39,Zimbabwe,Premium,93403,Adult
10090,45,South Africa,Premium,78369,Adult
10091,70,Zimbabwe,Premium,9482,Mature
10092,46,Namibia,Standard,54787,Adult
10093,20,South Africa,Premium,31326,Young Adult
10094,25,Botswana,Standard,90051,Young Adult
10095,57,Zimbabwe,Standard,12424,Mature
10096,68,South Africa,Standard,86405,Mature
10097,59,South Africa,Standard,43293,Mature
10098,64,Namibia,Standard,14449,Mature
10099,69,Zimbabwe,Premium,41747,Mature
10100,58,South Africa,Basic,74127,Mature
10101,38,South Africa,Basic,42626,Adult
10102,47,South Africa,Standard,57033,Adult
10103,54,Zimbabwe,Basic,60694,Mature
10104,45,Botswana,Premium,89782,Adult
10105,51,South Africa,Standard,21432,Mature
10106,65,South Africa,Standard,2260,Mature
10107,56,South Africa,Premium,20953,Mature
10108,66,Namibia,Basic,2109,Mature
10109,55,Botswana,Standard,34667,Mature
10110,49,Zimbabwe,Basic,74649,Adult
10111,48,Zimbabwe,Premium,48665,Adult
10112,22,Namibia,Basic,52487,Young Adult
10113,23,Namibia,Basic,89180,Young Adult
10114,57,Botswana,Standard,33659,Mature
10115,23,South Africa,Basic,31115,Young Adult
10116,41,Botswana,Premium,44472,Adult
10117,46,Zimbabwe,Standard,7461,Adult
10118,69,Namibia,Basic,21378,Mature
10119,30,Botswana,Premium,11162,Young Adult
10120,51,Zimbabwe,Basic,98630,Mature
10121,32,Zimbabwe,Premium,87891,Adult
10122,51,South Africa,Standard,70039,Mature
10123,52,Namibia,Standard,85490,Mature
10124,30,Namibia,Premium,5053,Young Adult
10125,23,Botswana,Premium,5022,Young Adult
10126,35,South Africa,Standard,4416,Adult
10127,19,Zimbabwe,Standard,48908,Young Adult
10128,30,Botswana,Basic,18874,Young Adult
10129,50,Zimbabwe,Basic,33242,Adult
10130,22,Botswana,Standard,57899,Young Adult
10131,53,Botswana,Premium,25652,Mature
10132,28,Namibia,Basic,51654,Young Adult
10133,25,Botswana,Premium,94014,Young Adult
10134,58,Namibia,Premium,42662,Mature
10135,66,South Africa,Basic,37900,Mature
10136,51,Zimbabwe,Basic,91946,Mature
10137,49,Namibia,Standard,4884,Adult
10138,46,Namibia,Premium,44225,Adult
10139,45,Namibia,Basic,33280,Adult
10140,59,Botswana,Premium,49293,Mature
10141,19,Botswana,Premium,14033,Young Adult
10142,19,Zimbabwe,Standard,99060,Young Adult
10143,36,Namibia,Standard,19308,Adult
10144,61,South Africa,Basic,88269,Mature
10145,51,South Africa,Basic,53898,Mature
10146,68,Zimbabwe,Premium,37154,Mature
10147,60,South Africa,Basic,44938,Mature
10148,54,Namibia,Premium,11675,Mature
10149,55,Namibia,Standard,24843,Mature
10150,40,Botswana,Standard,73568,Adult
10151,27,Botswana,Premium,75524,Young Adult
10152,67,South Africa,Standard,25146,Mature
10153,45,Namibia,Premium,49474,Adult
10154,44,Namibia,Basic,3868,Adult
10155,23,Botswana,Basic,11607,Young Adult
10156,30,South Africa,Standard,9370,Young Adult
10157,64,Namibia,Standard,70144,Mature
10158,69,Botswana,Standard,57905,Mature
10159,59,Zimbabwe,Premium,1190,Mature
10160,70,Namibia,Basic,99940,Mature
10161,46,South Africa,Basic,43848,Adult
10162,64,South Africa,Premium,89855,Mature
10163,58,Botswana,Standard,42639,Mature
10164,49,Zimbabwe,Basic,57044,Adult
10165,28,Namibia,Basic,69141,Young Adult
10166,66,Botswana,Basic,98430,Mature
10167,45,Botswana,Standard,55008,Adult
10168,35,South Africa,Premium,17621,Adult
10169,68,South Africa,Basic,47514,Mature
10170,47,Namibia,Basic,91615,Adult
10171,70,Namibia,Basic,49192,Mature
10172,54,Zimbabwe,Standard,94781,Mature
10173,67,South Africa,Standard,98296,Mature
10174,69,Namibia,Premium,96156,Mature
10175,68,Namibia,Premium,60858,Mature
10176,65,Zimbabwe,Standard,42635,Mature
10177,29,Namibia,Basic,43782,Young Adult
10178,53,Zimbabwe,Basic,92016,Mature
10179,69,Namibia,Standard,62899,Mature
10180,32,Zimbabwe,Basic,93705,Adult
10181,54,Zimbabwe,Premium,7528,Mature
10182,59,Namibia,Standard,96414,Mature
10183,58,Zimbabwe,Basic,58559,Mature
10184,43,Botswana,Standard,86787,Adult
10185,55,Botswana,Standard,56439,Mature
10186,52,Namibia,Premium,18779,Mature
10187,45,Botswana,Basic,69479,Adult
10188,19,Zimbabwe,Basic,18331,Young Adult
10189,25,Namibia,Basic,82608,Young Adult
10190,49,Zimbabwe,Basic,38477,Adult
10191,35,Namibia,Premium,76279,Adult
10192,59,Botswana,Basic,48184,Mature
10193,58,Botswana,Premium,98194,Mature
10194,57,Botswana,Basic,45638,Mature
10195,41,Namibia,Standard,14369,Adult
10196,55,Namibia,Standard,48728,Mature
10197,36,Namibia,Basic,18469,Adult
10198,25,Zimbabwe,Premium,1309,Young Adult
10199,22,South Africa,Basic,45747,Young Adult
10200,23,Zimbabwe,Basic,13608,Young Adult
10201,28,Botswana,Basic,21834,Young Adult
10202,26,Namibia,Premium,98127,Young Adult
10203,67,Namibia,Premium,62342,Mature
10204,20,Zimbabwe,Basic,14824,Young Adult
10205,39,Botswana,Standard,86628,Adult
10206,51,Zimbabwe,Basic,39349,Mature
10207,19,Zimbabwe,Premium,51274,Young Adult
10208,70,Zimbabwe,Basic,55300,Mature
10209,68,Zimbabwe,Premium,41483,Mature
10210,65,South Africa,Basic,79196,Mature
10211,28,Botswana,Premium,4423,Young Adult
10212,52,Botswana,Standard,42959,Mature
10213,69,Namibia,Basic,86956,Mature
10214,44,Zimbabwe,Premium,93089,Adult
10215,56,Namibia,Standard,4908,Mature
10216,55,Namibia,Standard,20602,Mature
10217,25,South Africa,Standard,28236,Young Adult
10218,39,South Africa,Standard,37190,Adult
10219,35,Zimbabwe,Premium,3361,Adult
10220,20,Zimbabwe,Basic,83657,Young Adult
10221,29,Namibia,Basic,26722,Young Adult
10222,25,Namibia,Standard,15033,Young Adult
10223,25,South Africa,Premium,88667,Young Adult
10224,38,Zimbabwe,Standard,53905,Adult
10225,39,Zimbabwe,Premium,44310,Adult
10226,44,Botswana,Standard,76247,Adult
10227,43,Namibia,Standard,71131,Adult
10228,25,Namibia,Standard,51330,Young Adult
10229,36,Zimbabwe,Standard,70265,Adult
10230,53,Zimbabwe,Standard,71123,Mature
10231,32,Botswana,Basic,2804,Adult
10232,29,South Africa,Premium,39062,Young Adult
10233,61,Botswana,Standard,78421,Mature
10234,18,Zimbabwe,Premium,93708,Young Adult
10235,53,Namibia,Premium,92069,Mature
10236,56,South Africa,Standard,10960,Mature
10237,45,Botswana,Basic,74488,Adult
10238,47,Namibia,Premium,65674,Adult
10239,45,South Africa,Standard,73117,Adult
10240,57,South Africa,Basic,84146,Mature
10241,38,Zimbabwe,Premium,84161,Adult
10242,67,Botswana,Premium,7530,Mature
10243,26,Botswana,Basic,79105,Young Adult
10244,63,Namibia,Premium,86602,Mature
10245,54,South Africa,Premium,45095,Mature
10246,22,South Africa,Basic,37772,Young Adult
10247,28,Namibia,Standard,65148,Young Adult
10248,49,Namibia,Basic,23985,Adult
10249,45,South Africa,Standard,58055,Adult
10250,50,South Africa,Basic,63214,Adult
10251,48,Namibia,Standard,24077,Adult
10252,67,Botswana,Premium,54030,Mature
10253,30,South Africa,Basic,67592,Young Adult
10254,18,South Africa,Premium,5977,Young Adult
10255,30,Zimbabwe,Basic,87397,Young Adult
10256,55,South Africa,Premium,38447,Mature
10257,64,Namibia,Premium,94664,Mature
10258,53,Botswana,Premium,39887,Mature
10259,32,Botswana,Standard,56692,Adult
10260,28,Zimbabwe,Premium,17198,Young Adult
10261,64,Namibia,Premium,91670,Mature
10262,37,Namibia,Basic,5095,Adult
10263,28,South Africa,Standard,43554,Young Adult
10264,34,Namibia,Standard,45774,Adult
10265,57,Botswana,Basic,2741,Mature
10266,70,Namibia,Standard,65022,Mature
10267,37,Namibia,Standard,12604,Adult
10268,26,South Africa,Basic,96068,Young Adult
10269,42,Zimbabwe,Standard,26984,Adult
10270,22,South Africa,Basic,29789,Young Adult
