customer_id,age,country,account_type,balance
10001,19,Botswana,Standard,53781
10002,24,South Africa,Basic,69403
10003,38,Zimbabwe,Premium,3417
10004,66,Namibia,Premium,44421
10005,45,Botswana,Basic,45050
10006,35,Namibia,Premium,14952
10007,34,Zimbabwe,Basic,64111
10008,60,South Africa,Basic,66016
10009,18,Zimbabwe,Premium,11753
10010,51,South Africa,Premium,2206
10011,63,Namibia,Premium,20369
10012,37,Namibia,Premium,2144
10013,69,Botswana,Premium,16727
10014,44,South Africa,Basic,90531
10015,30,Namibia,Standard,87757
10016,47,Namibia,Premium,58236
10017,48,Namibia,Basic,83264
10018,53,Zimbabwe,Standard,25282
10019,63,Zimbabwe,Standard,28369
10020,18,Namibia,Standard,48152
10021,50,Botswana,Premium,5010
10022,27,Zimbabwe,Standard,63343
10023,30,South Africa,Standard,29255
10024,60,Botswana,Basic,35808
10025,27,Namibia,Basic,84974
10026,40,South Africa,Premium,76502
10027,43,Zimbabwe,Basic,27485
10028,33,Namibia,Basic,98727
10029,53,Namibia,Premium,81778
10030,62,Namibia,Standard,29831
10031,23,Namibia,Standard,76692
10032,69,Zimbabwe,Basic,61931
10033,34,South Africa,Standard,44156
10034,65,Botswana,Premium,88431
10035,26,Namibia,Premium,54073
10036,62,Namibia,Premium,67508
10037,20,Zimbabwe,Standard,92404
10038,25,South Africa,Standard,64588
10039,59,Botswana,Basic,34585
10040,34,Botswana,Premium,97310
10041,35,South Africa,Standard,55079
10042,62,Zimbabwe,Basic,37126
10043,53,Namibia,Basic,14525
10044,62,Namibia,Basic,18625
10045,63,Botswana,Standard,72378
10046,52,Botswana,Basic,65990
10047,53,South Africa,Basic,7212
10048,61,Namibia,Standard,20525
10049,45,Namibia,Premium,99585
10050,22,Botswana,Premium,33826
10051,62,South Africa,Premium,69686
10052,40,Namibia,Basic,17562
10053,63,South Africa,Premium,13898
10054,52,Zimbabwe,Premium,13805
10055,69,Namibia,Premium,54567
10056,54,South Africa,Premium,1773
10057,32,Botswana,Premium,42695
10058,20,Botswana,Premium,67802
10059,56,Botswana,Premium,21046
10060,35,Botswana,Basic,51350
10061,43,Botswana,Basic,45448
10062,31,Botswana,Standard,61544
10063,26,Zimbabwe,Premium,84889
10064,53,Namibia,Premium,97310
10065,38,Botswana,Standard,87745
10066,62,Botswana,Standard,59493
10067,45,Zimbabwe,Premium,81472
10068,66,Zimbabwe,Basic,6147
10069,51,Namibia,Premium,51100
10070,18,Botswana,Premium,78293
10071,18,Namibia,Premium,36992
10072,30,Botswana,Standard,30523
10073,42,Zimbabwe,Standard,70351
10074,24,Namibia,Basic,72286
10075,27,Zimbabwe,Standard,84305
10076,28,Namibia,Premium,18964
10077,33,Botswana,Standard,81487
10078,31,Botswana,Standard,46951
10079,27,Zimbabwe,Standard,7515
10080,18,Zimbabwe,Premium,16396
10081,67,Zimbabwe,Basic,33333
10082,46,Botswana,Premium,46162
10083,33,Namibia,Basic,6318
10084,35,South Africa,Standard,82764
10085,46,Zimbabwe,Basic,49849
10086,65,Zimbabwe,Basic,49665
10087,34,Botswana,Standard,54585
10088,61,Zimbabwe,Premium,73705
10089,39,Zimbabwe,Premium,93403
10090,45,South Africa,Premium,78369
10091,70,Zimbabwe,Premium,9482
10092,46,Namibia,Standard,54787
10093,20,South Africa,Premium,31326
10094,25,Botswana,Standard,90051
10095,57,Zimbabwe,Standard,12424
10096,68,South Africa,Standard,86405
10097,59,South Africa,Standard,43293
10098,64,Namibia,Standard,14449
10099,69,Zimbabwe,Premium,41747
10100,58,South Africa,Basic,74127
10101,38,South Africa,Basic,42626
10102,47,South Africa,Standard,57033
10103,54,Zimbabwe,Basic,60694
10104,45,Botswana,Premium,89782
10105,51,South Africa,Standard,21432
10106,65,South Africa,Standard,2260
10107,56,South Africa,Premium,20953
10108,66,Namibia,Basic,2109
10109,55,Botswana,Standard,34667
10110,49,Zimbabwe,Basic,74649
10111,48,Zimbabwe,Premium,48665
10112,22,Namibia,Basic,52487
10113,23,Namibia,Basic,89180
10114,57,Botswana,Standard,33659
10115,23,South Africa,Basic,31115
10116,41,Botswana,Premium,44472
10117,46,Zimbabwe,Standard,7461
10118,69,Namibia,Basic,21378
10119,30,Botswana,Premium,11162
10120,51,Zimbabwe,Basic,98630
10121,32,Zimbabwe,Premium,87891
10122,51,South Africa,Standard,70039
10123,52,Namibia,Standard,85490
10124,30,Namibia,Premium,5053
10125,23,Botswana,Premium,5022
10126,35,South Africa,Standard,4416
10127,19,Zimbabwe,Standard,48908
10128,30,Botswana,Basic,18874
10129,50,Zimbabwe,Basic,33242
10130,22,Botswana,Standard,57899
10131,53,Botswana,Premium,25652
10132,28,Namibia,Basic,51654
10133,25,Botswana,Premium,94014
10134,58,Namibia,Premium,42662
10135,66,South Africa,Basic,37900
10136,51,Zimbabwe,Basic,91946
10137,49,Namibia,Standard,4884
10138,46,Namibia,Premium,44225
10139,45,Namibia,Basic,33280
10140,59,Botswana,Premium,49293
10141,19,Botswana,Premium,14033
10142,19,Zimbabwe,Standard,99060
10143,36,Namibia,Standard,19308
10144,61,South Africa,Basic,88269
10145,51,South Africa,Basic,53898
10146,68,Zimbabwe,Premium,37154
10147,60,South Africa,Basic,44938
10148,54,Namibia,Premium,11675
10149,55,Namibia,Standard,24843
10150,40,Botswana,Standard,73568
10151,27,Botswana,Premium,75524
10152,67,South Africa,Standard,25146
10153,45,Namibia,Premium,49474
10154,44,Namibia,Basic,3868
10155,23,Botswana,Basic,11607
10156,30,South Africa,Standard,9370
10157,64,Namibia,Standard,70144
10158,69,Botswana,Standard,57905
10159,59,Zimbabwe,Premium,1190
10160,70,Namibia,Basic,99940
10161,46,South Africa,Basic,43848
10162,64,South Africa,Premium,89855
10163,58,Botswana,Standard,42639
10164,49,Zimbabwe,Basic,57044
10165,28,Namibia,Basic,69141
10166,66,Botswana,Basic,98430
10167,45,Botswana,Standard,55008
10168,35,South Africa,Premium,17621
10169,68,South Africa,Basic,47514
10170,47,Namibia,Basic,91615
10171,70,Namibia,Basic,49192
10172,54,Zimbabwe,Standard,94781
10173,67,South Africa,Standard,98296
10174,69,Namibia,Premium,96156
10175,68,Namibia,Premium,60858
10176,65,Zimbabwe,Standard,42635
10177,29,Namibia,Basic,43782
10178,53,Zimbabwe,Basic,92016
10179,69,Namibia,Standard,62899
10180,32,Zimbabwe,Basic,93705
10181,54,Zimbabwe,Premium,7528
10182,59,Namibia,Standard,96414
10183,58,Zimbabwe,Basic,58559
10184,43,Botswana,Standard,86787
10185,55,Botswana,Standard,56439
10186,52,Namibia,Premium,18779
10187,45,Botswana,Basic,69479
10188,19,Zimbabwe,Basic,18331
10189,25,Namibia,Basic,82608
10190,49,Zimbabwe,Basic,38477
10191,35,Namibia,Premium,76279
10192,59,Botswana,Basic,48184
10193,58,Botswana,Premium,98194
10194,57,Botswana,Basic,45638
10195,41,Namibia,Standard,14369
10196,55,Namibia,Standard,48728
10197,36,Namibia,Basic,18469
10198,25,Zimbabwe,Premium,1309
10199,22,South Africa,Basic,45747
10200,23,Zimbabwe,Basic,13608
10201,28,Botswana,Basic,21834
10202,26,Namibia,Premium,98127
10203,67,Namibia,Premium,62342
10204,20,Zimbabwe,Basic,14824
10205,39,Botswana,Standard,86628
10206,51,Zimbabwe,Basic,39349
10207,19,Zimbabwe,Premium,51274
10208,70,Zimbabwe,Basic,55300
10209,68,Zimbabwe,Premium,41483
10210,65,South Africa,Basic,79196
10211,28,Botswana,Premium,4423
10212,52,Botswana,Standard,42959
10213,69,Namibia,Basic,86956
